id	name	prompt_tokens	prefill_rows	equal	first_divergence
1	p01-water	13	0	1	-1
2	p02-python-fib	15	0	1	-1
3	p03-story	20	19	1	-1
4	p04-list-planets	16	0	1	-1
5	p05-math	15	0	1	-1
6	p06-translate	21	20	1	-1
7	p07-json	20	19	1	-1
8	p08-sql	26	25	1	-1
9	p09-explain-gpu	19	18	1	-1
10	p10-recipe	11	0	1	-1
11	p11-email	15	0	1	-1
12	p12-rust	32	31	1	-1
13	p13-haiku	9	0	1	-1
14	p14-history	7	0	1	-1
15	p15-bash	18	17	1	-1
16	p16-chat	16	0	1	-1
17	p17-summarize	59	58	1	-1
18	p18-regex	11	0	1	-1
19	p19-numbers	24	23	1	-1
20	p20-dialog	12	0	1	-1
21	p0128	128	127	1	-1
22	p0512	512	511	1	-1
23	p1024	1024	1023	1	-1
