prompt n_prompt arm k tok_s_gen drafted accepted identity
p01-water 13 A 0 80.79779082013437 0 0 ref
p01-water 13 B 1 98.98845675808052 34 29 PASS
p02-python-fib 15 A 0 80.76990892581225 0 0 ref
p02-python-fib 15 B 1 104.82942173966094 33 31 PASS
p03-story 20 A 0 80.43462191708521 0 0 ref
p03-story 20 B 1 99.13665069576271 34 29 PASS
p04-list-planets 16 A 0 80.71890729088072 0 0 ref
p04-list-planets 16 B 1 101.91191970192259 33 30 PASS
p05-math 15 A 0 80.73781827189175 0 0 ref
p05-math 15 B 1 101.92193579562581 34 30 PASS
p06-translate 21 A 0 80.46744936102945 0 0 ref
p06-translate 21 B 1 95.97607099004458 36 28 PASS
p07-json 20 A 0 80.45240538051029 0 0 ref
p07-json 20 B 1 100.67647431523889 34 30 PASS
p08-sql 26 A 0 80.36838202683296 0 0 ref
p08-sql 26 B 1 98.73039575176459 34 29 PASS
p09-explain-gpu 19 A 0 80.68347096321945 0 0 ref
p09-explain-gpu 19 B 1 82.30110492825874 41 22 PASS
p10-recipe 11 A 0 81.12676756280842 0 0 ref
p10-recipe 11 B 1 96.11306513973132 35 28 PASS
p11-email 15 A 0 80.75271259481126 0 0 ref
p11-email 15 B 1 87.92476085616443 38 25 PASS
p12-rust 32 A 0 80.34645677839133 0 0 ref
p12-rust 32 B 1 103.59301418436988 33 31 PASS
p13-haiku 9 A 0 80.90571622309247 0 0 ref
p13-haiku 9 B 1 92.62925765971916 36 27 PASS
p14-history 7 A 0 80.79054808038516 0 0 ref
p14-history 7 B 1 99.14811654980078 35 29 PASS
p15-bash 18 A 0 80.35261974258357 0 0 ref
p15-bash 18 B 1 90.24930028356587 37 26 PASS
p16-chat 16 A 0 80.67925633165521 0 0 ref
p16-chat 16 B 1 88.09969437488849 38 25 PASS
p17-summarize 59 A 0 79.81746591862938 0 0 ref
p17-summarize 59 B 1 95.84156954073137 35 28 PASS
p18-regex 11 A 0 80.81715969662409 0 0 ref
p18-regex 11 B 1 98.3851478792723 34 29 PASS
p19-numbers 24 A 0 80.59634138741912 0 0 ref
p19-numbers 24 B 1 104.16530965860649 32 31 PASS
p20-dialog 12 A 0 80.60328740789166 0 0 ref
p20-dialog 12 B 1 103.921695497308 33 31 PASS
