prompt n_prompt arm k tok_s_gen drafted accepted identity
p01-water 13 A 0 80.85611584879464 0 0 ref
p01-water 13 B 2 99.80193766856041 53 36 PASS
p01-water 13 B 3 105.15141067076715 63 42 PASS
p01-water 13 B 4 106.76988976237675 72 45 PASS
p02-python-fib 15 A 0 80.45662264775437 0 0 ref
p02-python-fib 15 B 2 121.01507142252848 44 41 PASS
p02-python-fib 15 B 3 126.83687247500124 54 46 PASS
p02-python-fib 15 B 4 127.89803575556873 61 48 PASS
p03-story 20 A 0 80.83517662449523 0 0 ref
p03-story 20 B 2 92.37739507898637 58 34 PASS
p03-story 20 B 3 94.20944417826122 72 40 PASS
p03-story 20 B 4 85.71385422957734 91 41 PASS
p04-list-planets 16 A 0 80.9263267184355 0 0 ref
p04-list-planets 16 B 2 120.08901157656736 46 41 PASS
p04-list-planets 16 B 3 120.78490216637654 56 45 PASS
p04-list-planets 16 B 4 125.59240642315132 63 48 PASS
p05-math 15 A 0 80.9468244698884 0 0 ref
p05-math 15 B 2 111.66205404900698 49 39 PASS
p05-math 15 B 3 121.50638009172197 55 45 PASS
p05-math 15 B 4 117.54362877130849 67 47 PASS
p06-translate 21 A 0 80.75484460426007 0 0 ref
p06-translate 21 B 2 103.18489159741694 52 37 PASS
p06-translate 21 B 3 95.08722465826301 70 40 PASS
p06-translate 21 B 4 93.74056707644814 84 43 PASS
p07-json 20 A 0 80.53932249644363 0 0 ref
p07-json 20 B 2 111.47789599910345 48 39 PASS
p07-json 20 B 3 109.76845511771727 61 43 PASS
p07-json 20 B 4 103.63385244007064 76 45 PASS
p08-sql 26 A 0 80.52476110457098 0 0 ref
p08-sql 26 B 2 102.44718951453861 53 37 PASS
p08-sql 26 B 3 95.34214674220888 70 40 PASS
p08-sql 26 B 4 90.43318282634412 86 42 PASS
p09-explain-gpu 19 A 0 80.57551761779663 0 0 ref
p09-explain-gpu 19 B 2 81.87712281955325 65 30 PASS
p09-explain-gpu 19 B 3 70.16411089289379 93 31 PASS
p09-explain-gpu 19 B 4 61.35367541515249 123 31 PASS
p10-recipe 11 A 0 80.66295649673395 0 0 ref
p10-recipe 11 B 2 99.23235472753026 54 36 PASS
p10-recipe 11 B 3 90.92061670444082 74 39 PASS
p10-recipe 11 B 4 86.81775233965574 89 41 PASS
p11-email 15 A 0 80.75564373570512 0 0 ref
p11-email 15 B 2 87.10557771745745 61 32 PASS
p11-email 15 B 3 74.70163251987259 87 33 PASS
p11-email 15 B 4 65.73757127678338 114 33 PASS
p12-rust 32 A 0 80.435973188775 0 0 ref
p12-rust 32 B 2 110.5640476134559 49 39 PASS
p12-rust 32 B 3 100.22097388461907 66 41 PASS
p12-rust 32 B 4 100.19064610108934 77 44 PASS
p13-haiku 9 A 0 80.92951218689585 0 0 ref
p13-haiku 9 B 2 99.87224500945761 53 36 PASS
p13-haiku 9 B 3 95.75214922766362 69 40 PASS
p13-haiku 9 B 4 83.75293687649628 91 40 PASS
p14-history 7 A 0 81.03238030764985 0 0 ref
p14-history 7 B 2 102.22681647925488 54 37 PASS
p14-history 7 B 3 92.02646132959136 72 39 PASS
p14-history 7 B 4 94.647786792886 83 43 PASS
p15-bash 18 A 0 80.61774692208161 0 0 ref
p15-bash 18 B 2 92.69474072552703 57 34 PASS
p15-bash 18 B 3 85.04586478940259 78 37 PASS
p15-bash 18 B 4 76.76749713887234 100 38 PASS
p16-chat 16 A 0 80.72650947245374 0 0 ref
p16-chat 16 B 2 86.03295247255387 62 32 PASS
p16-chat 16 B 3 83.17423455494567 81 37 PASS
p16-chat 16 B 4 81.83101228326358 95 40 PASS
p17-summarize 59 A 0 79.80513238511121 0 0 ref
p17-summarize 59 B 2 105.76154961070405 50 38 PASS
p17-summarize 59 B 3 95.52309268112147 68 40 PASS
p17-summarize 59 B 4 97.19529627529188 77 43 PASS
p18-regex 11 A 0 80.78969013679875 0 0 ref
p18-regex 11 B 2 101.69703669217945 54 37 PASS
p18-regex 11 B 3 91.06759938795808 74 39 PASS
p18-regex 11 B 4 86.63221389693828 90 41 PASS
p19-numbers 24 A 0 80.54890442155605 0 0 ref
p19-numbers 24 B 2 124.45656288752785 44 42 PASS
p19-numbers 24 B 3 121.11068207384987 55 45 PASS
p19-numbers 24 B 4 118.93789412053516 65 47 PASS
p20-dialog 12 A 0 80.79233520192025 0 0 ref
p20-dialog 12 B 2 114.40783502481716 48 40 PASS
p20-dialog 12 B 3 119.43937953540116 57 45 PASS
p20-dialog 12 B 4 119.41032520270514 65 47 PASS
