prompt n_prompt a2_tok_s splitk_tok_s identity
p01-water 13 118.98344196014806 106.98687973363023 PASS
p02-python-fib 15 118.11851160250954 107.08005159674383 PASS
p03-story 20 119.08352254964733 107.52982241055552 PASS
p04-list-planets 16 118.92201811548163 108.08976595647248 PASS
p05-math 15 118.88841999463786 108.10820643045801 PASS
p06-translate 21 118.55180948355387 108.06830021554256 PASS
p07-json 20 115.32033971351228 108.50267840067215 FAIL
p08-sql 26 119.69178044226923 108.41608588327207 PASS
p09-explain-gpu 19 119.67528016135056 108.36623415340345 PASS
p10-recipe 11 119.67234532460492 108.73969925657707 PASS
p11-email 15 119.70857619772853 108.6231383578173 PASS
p12-rust 32 119.88308339496004 105.87073260515254 PASS
p13-haiku 9 116.95745538894563 107.61742344192584 FAIL
p14-history 7 119.75386087968161 108.05329954368301 PASS
p15-bash 18 118.81409188086845 106.04200175904155 FAIL
p16-chat 16 119.37225609368936 108.63842656407769 PASS
p17-summarize 59 118.20551642629826 106.9486897957921 PASS
p18-regex 11 119.24383170822762 108.94995953780086 PASS
p19-numbers 24 119.33012567894296 108.4609246561364 PASS
p20-dialog 12 114.22008078546996 108.9294637424286 PASS
